底 低 0.625 府 0.625 抵 0.625 座 0.6 産 0.545455 庁 0.5 衣 0.5 空 0.5 庭 0.5 対 0.5
弔 引 1 弓 0.75 弟 0.571429 沸 0.5 井 0.5 干 0.5 牛 0.5 与 0.5 己 0.5 十 0.5
怖 悔 0.666667 布 0.625 希 0.625 性 0.625 愉 0.583333 補 0.583333 染 0.555556 洋 0.555556 海 0.555556 活 0.555556
剛 判 0.6 剖 0.5 到 0.5 端 0.428571 綱 0.428571 結 0.416667 割 0.416667 痢 0.416667 奥 0.416667 活 0.4
厄 危 0.666667 犯 0.6 切 0.5 勺 0.5 太 0.5 犬 0.5 匹 0.5 区 0.5 大 0.5 友 0.5
閣 問 0.785714 略 0.714286 閲 0.666667 閥 0.642857 酪 0.642857 開 0.642857 閑 0.642857 関 0.571429 聞 0.571429 閉 0.571429
岩 崎 0.727273 石 0.625 君 0.625 岸 0.625 拓 0.625 宮 0.6 峡 0.555556 炭 0.555556 陪 0.545455 培 0.545455
枯 格 0.7 居 0.666667 極 0.666667 括 0.666667 和 0.666667 杯 0.666667 舌 0.666667 苦 0.666667 奇 0.666667 枝 0.666667
足 促 0.777778 史 0.714286 吹 0.714286 衷 0.666667 味 0.625 蚊 0.6 吏 0.571429 叫 0.571429 吸 0.571429 呉 0.571429
伴 併 0.875 件 0.857143 辛 0.714286 半 0.714286 南 0.666667 信 0.666667 祈 0.625 岸 0.625 幸 0.625 殊 0.6
頂 項 0.833333 責 0.818182 貢 0.818182 頑 0.769231 預 0.769231 順 0.75 貧 0.727273 原 0.727273 規 0.727273 現 0.727273
妻 金 0.625 琴 0.5 妄 0.5 毒 0.5 針 0.5 華 0.5 並 0.5 走 0.5 唐 0.5 圧 0.5
鬼 塊 0.769231 魂 0.714286 的 0.7 卑 0.7 魅 0.666667 魚 0.636364 見 0.6 免 0.6 思 0.6 界 0.6
尾 尼 0.714286 所 0.625 毛 0.571429 発 0.555556 房 0.5 塀 0.5 遅 0.5 耗 0.5 啓 0.454545 尉 0.454545
衆 脈 0.583333 倣 0.583333 乗 0.583333 微 0.538462 俵 0.5 欺 0.5 炭 0.5 家 0.5 象 0.5 豚 0.5
泉 臭 0.777778 果 0.666667 更 0.666667 東 0.666667 巣 0.636364 原 0.6 夏 0.6 線 0.6 軌 0.555556 白 0.555556
聖 程 0.538462 堂 0.538462 班 0.538462 呈 0.538462 轄 0.470588 喪 0.461538 吐 0.461538 理 0.461538 荘 0.461538 取 0.461538
虚 戯 0.733333 並 0.636364 金 0.545455 虐 0.545455 虞 0.538462 虜 0.538462 慮 0.533333 痘 0.5 膚 0.466667 劇 0.466667
譜 諸 0.736842 諾 0.684211 議 0.65 評 0.631579 謙 0.631579 請 0.631579 講 0.631579 詳 0.631579 識 0.631579 普 0.631579
郡 部 0.727273 君 0.7 群 0.615385 訓 0.6 邦 0.6 計 0.6 都 0.545455 許 0.545455 詔 0.5 討 0.5
嗣 胴 0.538462 品 0.538462 器 0.533333 閣 0.5 飼 0.461538 洞 0.461538 高 0.461538 問 0.461538 唱 0.461538 昭 0.461538
鉢 鉄 0.769231 針 0.769231 釣 0.692308 鉱 0.692308 錬 0.6875 鋳 0.666667 銀 0.642857 銭 0.642857 銅 0.642857 銑 0.642857
寧 富 0.5 宣 0.5 宙 0.5 憲 0.5 賓 0.466667 油 0.428571 寛 0.428571 悼 0.428571 軍 0.428571 宿 0.428571
跳 践 0.692308 跡 0.692308 路 0.615385 踊 0.571429 桃 0.538462 眺 0.538462 距 0.538462 踏 0.533333 嚇 0.529412 緊 0.466667
該 訪 0.769231 読 0.714286 誘 0.714286 誠 0.692308 診 0.692308 評 0.692308 誌 0.642857 誤 0.642857 詰 0.615385 詞 0.615385
号 叫 0.666667 吐 0.666667 口 0.6 史 0.6 中 0.6 兄 0.6 吟 0.571429 呈 0.571429 呉 0.571429 吸 0.5
偶 隅 0.833333 島 0.636364 伸 0.636364 遇 0.583333 得 0.545455 側 0.545455 負 0.545455 重 0.545455 門 0.545455 鳥 0.545455
姻 因 0.666667 娯 0.6 菌 0.545455 婚 0.454545 旬 0.444444 好 0.444444 妃 0.444444 姓 0.444444 西 0.444444 妹 0.444444
発 廃 0.75 登 0.583333 尾 0.555556 洗 0.555556 光 0.555556 柔 0.555556 完 0.555556 渓 0.545455 斎 0.545455 案 0.5
老 考 0.833333 花 0.714286 壱 0.714286 赤 0.714286 売 0.714286 元 0.666667 先 0.666667 表 0.625 孝 0.571429 坂 0.571429
消 宵 0.8 清 0.727273 肖 0.7 滑 0.692308 情 0.636364 済 0.636364 滝 0.615385 泊 0.6 硝 0.583333 湖 0.583333
鈍 鉛 0.769231 針 0.75 釣 0.75 銑 0.714286 銘 0.714286 鉄 0.692308 鈴 0.692308 鋭 0.666667 銅 0.642857 銃 0.642857
圏 巻 0.75 遷 0.533333 囲 0.5 港 0.5 咲 0.5 挙 0.5 券 0.5 困 0.5 僕 0.428571 記 0.416667
頑 賛 0.8 煩 0.769231 項 0.769231 傾 0.769231 頂 0.769231 頒 0.692308 順 0.692308 責 0.692308 貧 0.692308 預 0.692308
媒 某 0.75 妹 0.666667 課 0.6 娠 0.583333 保 0.583333 凍 0.583333 娘 0.583333 軌 0.583333 閑 0.583333 巣 0.583333
肖 削 0.777778 宵 0.7 消 0.7 背 0.666667 育 0.625 青 0.625 肩 0.625 骨 0.6 硝 0.583333 有 0.571429
貞 偵 0.818182 員 0.8 貢 0.8 貝 0.777778 負 0.777778 貫 0.727273 責 0.727273 項 0.666667 買 0.666667 賀 0.666667
冠 寿 0.666667 辱 0.6 討 0.6 封 0.555556 村 0.555556 対 0.555556 府 0.555556 完 0.555556 尉 0.545455 瓶 0.545455
産 童 0.666667 座 0.636364 望 0.636364 栓 0.636364 底 0.545455 章 0.545455 姓 0.545455 性 0.545455 柱 0.545455 辛 0.545455
撮 最 0.8 捜 0.666667 提 0.666667 漫 0.533333 揚 0.533333 堤 0.533333 趣 0.533333 夏 0.533333 菓 0.533333 押 0.533333
課 謀 0.875 謁 0.8 裸 0.666667 誤 0.666667 謙 0.647059 訳 0.6 訴 0.6 調 0.6 談 0.6 許 0.6
